epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,4154.02,0.42377,0.34954,0.85307,0.99888,1,0.995,0.93548,0.37022,0.28644,0.85995,0.0011486,0.0011486,0.0011486
45,4249.37,0.42971,0.34026,0.84926,0.9989,1,0.995,0.92869,0.37579,0.28196,0.86096,0.0011288,0.0011288,0.0011288
46,4345.22,0.40963,0.33557,0.85795,0.99879,1,0.995,0.95342,0.35597,0.27467,0.84997,0.001109,0.001109,0.001109
47,4440.56,0.38773,0.32108,0.85511,0.99876,1,0.995,0.95773,0.3454,0.26616,0.85341,0.0010892,0.0010892,0.0010892
48,4535.12,0.40604,0.33214,0.85459,0.99894,1,0.995,0.94468,0.3457,0.26985,0.83621,0.0010694,0.0010694,0.0010694
49,4629.53,0.39736,0.32483,0.84997,0.99828,1,0.995,0.95092,0.33603,0.2619,0.84901,0.0010496,0.0010496,0.0010496
50,4723.56,0.39251,0.31738,0.85673,0.99826,1,0.995,0.94632,0.32955,0.26927,0.8277,0.0010298,0.0010298,0.0010298
51,4817.89,0.39514,0.32799,0.86681,0.99778,1,0.995,0.95217,0.34953,0.28048,0.8435,0.00101,0.00101,0.00101
52,4913.34,0.39919,0.31652,0.86057,0.9986,1,0.995,0.94786,0.33093,0.27127,0.84807,0.0009902,0.0009902,0.0009902
53,5007.55,0.39727,0.32174,0.85359,0.99892,1,0.995,0.94132,0.33754,0.26601,0.85266,0.0009704,0.0009704,0.0009704
54,5103.25,0.37329,0.31163,0.84147,0.99892,1,0.995,0.96009,0.30979,0.25313,0.85092,0.0009506,0.0009506,0.0009506
55,5198.25,0.3551,0.30915,0.8479,0.99875,1,0.995,0.96191,0.31066,0.24974,0.8509,0.0009308,0.0009308,0.0009308
56,5293.66,0.36193,0.29078,0.84116,0.99829,1,0.995,0.95873,0.34472,0.27377,0.8562,0.000911,0.000911,0.000911
57,5389.53,0.36897,0.2998,0.85242,0.99889,1,0.995,0.96403,0.3279,0.23536,0.84711,0.0008912,0.0008912,0.0008912
58,5484.56,0.39596,0.3005,0.85917,0.99897,1,0.995,0.93041,0.40282,0.27987,0.86028,0.0008714,0.0008714,0.0008714
59,5579.71,0.41555,0.32698,0.85316,0.99893,1,0.995,0.95583,0.33476,0.24551,0.86026,0.0008516,0.0008516,0.0008516
60,5675.13,0.38493,0.30078,0.85385,0.99892,1,0.995,0.96762,0.33541,0.24605,0.8599,0.0008318,0.0008318,0.0008318
